id-berita,url,content per paragraf,content_stopwords
231,https://tekno.sindonews.com/read/799655/776/manfaatkan-fitur-assistive-ball-di-oppo-a96-lakukan-banyak-hal-hanya-dengan-satu-jari-1655352410,"Ada segudang fitur bermanfaat di OPPO A96. Salah satunya yang tak boleh terlewatkan adalah fitur Assistive Ball atau Bola Bantuan yang memungkinkan pengguna mengakses beberapa fungsi smartphone hanya dalam satu jari. Fitur Assistive Ball memberikan kemudahan dalam membuka pusat notifikasi, mengambil tangkapan layar, dan banyak lagi secara cepat. Jadi, tidak perlu banyak sentuhan pada layar yang tentu ini merepotkan dan memakan banyak waktu.",gudang fitur manfaat oppo a salah fitur assistive ball bola bantu akses fungsi smartphone jari fitur assistive ball mudah buka pusat notifikasi ambil tangkap layar cepat sentuh layar repot makan
233,https://tekno.sindonews.com/read/793329/776/didukung-ericsson-indosat-ooredoo-hutchison-hadirkan-pengalaman-5g-kelas-dunia-di-formula-e-1654769208,"”Meski baru berusia beberapa bulan sejak 4 Januari 2022, IOH terus menunjukkan peran aktifnya dalam mendukung penyelenggaraan acara nasional maupun internasional bersama dengan para mitra strategis kami,” ujar President Director dan CEO Indosat Ooredoo Hutchison, Vikram Sinha. Menurut Vikram, hal tersebut sejalan dengan misi IOH dalam menghadirkan pengalaman digital berkelas dunia sambil terus menghubungkan dan memberdayakan masyarakat Indonesia. ”Sebagai Official 5G Partner dari ajang Jakarta E-Prix 2022, kami ingin menunjukkan bahwa teknologi mampu memberi pengalaman nyata bagi pelanggan dalam menikmati olahraga secara digital,” ujarnya.",usia januari ioh peran aktif dukung selenggara acara nasional internasional mitra strategis president director ceo indosat ooredoo hutchison vikram sinha vikram jalan misi ioh hadir alam digital kelas dunia hubung daya masyarakat indonesia official g partner ajang jakarta e-prix teknologi alam nyata langgan nikmat olahraga digital
235,https://tekno.sindonews.com/read/787787/776/zipmex-dan-komunitas-nft-kaiju-kingz-adakan-gathering-pertama-di-indonesia-1654257973,"Perwakilan komunitas Kaiju Kingz Indonesia Aldy Kusuma menambahkan bahwa Komunitas Kaiju Kingz sangat antusias terhadap kolaborasi bersama Zipmex dalam gathering pertama di Indonesia dan terbesar di dunia ini. “Gathering ini berhasil mempertemukan Kingz (sebutan bagi pemilik NFT Kaiju Kingz) dari seluruh Indonesia dan melalui kolaborasi ini, kami siap mendorong adopsi aset digital serta menjadi trendsetter kultur digital di Indonesia dan Asia Tenggara,” tuturnya. Kolaborasi antara Zipmex dan komunitas Kaiju Kingz Indonesia juga menawarkan akses khusus ke layanan Private Client Zipmex bagi pemilik koleksi NFT Kaiju Kingz. Layanan Private Client Zipmex sendiri merupakan sebuah jasa eksklusif yang menghadirkan penyusunan strategi serta memberikan potongan biaya trading di platform Zipmex.",wakil komunitas kaiju kingz indonesia aldy kusuma komunitas kaiju kingz antusias hadap kolaborasi zipmex gathering indonesia dunia gathering hasil temu kingz milik nft kaiju kingz indonesia kolaborasi dorong adopsi aset digital trendsetter kultur digital indonesia asia tenggara kolaborasi zipmex komunitas kaiju kingz indonesia tawar akses khusus layan private client zipmex milik koleksi nft kaiju kingz layan private client zipmex rupa buah jasa eksklusif hadir susun strategi potong biaya trading platform zipmex
238,https://tekno.sindonews.com/read/768355/776/oppo-a55-pilihan-smartphone-ramah-anak-1652429136,"Pengaturan durasi bermain smartphone anak bisa dari 15 menit hingga tiga jam. Selain itu, kita juga bisa mematikan akses internet anak dengan memilih opsi Turn off mobile network. Selain fitur Kids Space, OPPO 55 juga layak dijadikan pilihan karena memiliki spesifikasi jempolan. Smartphone ini membawa layar 6,51 inci dengan dukungan fitur All-day Eye Care untuk melindungi mata.",atur durasi main smartphone anak menit jam mati akses internet anak pilih opsi turn off mobile network fitur kids space oppo layak pilih milik spesifikasi jempol smartphone bawa layar inci dukung fitur all-day eye care lindung mata
239,https://tekno.sindonews.com/read/768125/776/kulik-fitur-microlens-oppo-reno7-4g-bisa-tangkap-momen-ekstrim-1652414730,"Berikut adalah hasil tangkapan fitur kamera microlens OPPO Reno7 4G: Untuk diketahui, OPPO Reno7 4G sendiri hadir dengan membawa panel AMOLED berukuran 6,4 inci yang sudah mendukung refresh rate hingga 90Hz. Kameranya terdiri dari 64MP+2MP+2MP+32MP (selfie). Di sektor dapur pacu ditopang oleh prosesor Snapdragon 680 yang dipadu dengan RAM 8GB dan ROM 2456GB. Dayanya bersumber dari baterai berkapasitas 4.500mAh dengan teknologi pengisian daya cepat SUPERVOOCTM 33W. OPPO Reno7 4G dibandrol dengan harga Rp5.199 juta.",hasil tangkap fitur kamera microlens oppo reno g oppo reno g hadir bawa panel amoled ukur inci dukung refresh rate hz kamera mp mp mp mp selfie sektor dapur pacu topang prosesor snapdragon padu ram gb rom gb daya sumber baterai kapasitas mah teknologi isi daya cepat supervooctm w oppo reno g dibandrol harga rp juta
242,https://tekno.sindonews.com/read/755979/776/ini-cara-asyik-usir-kebosanan-macet-saat-mudik-1651050292,"OPPO A96. OPPO A96 dibekali dengan baterai berkapasitas 5.000mAh yang sudah mendukung teknologi pengisian daya cepat 33W SUPERVOOCTM. Dengan dukungan teknologi pengisian baterai tersebut, OPPO A96 dapat terisi 55 persen dalam waktu 30 menit dan mengisi penuh hingga 100 persen hanya dalam waktu satu jam. OPPO A96 juga disertai fitur Super Power Saving Mode untuk memperpanjang masa pakai baterai. OPPO A96 sendiri mengusung layar 6,59 inci dengan 90.8% screen-to-body ratio dan resolusi FHD 1080 x 2412. Layar ini juga menghadirkan 95% NTSC Wide Color Gamut dan sudah mendukung refresh rate 90Hz. Untuk urusan fotografinya, OPPO A96 dibekali dengan dua kamera belakang yang terdiri dari kamera utama 50MP dan kamera bokeh 2MP. Tidak berhenti di situ, disematkan juga kamera depan beresolusi 16MP. OPPO A96 juga ditopang oleh prosesor Snapdragon 680. Prosesor buatan Qualcomm itu dipadu dengan RAM berkapasitas 8GB yang dapat diperbesar secara virtual hingga 5GB dan memori internal hingga 256GB. Untuk sistem operasinya sendiri berjalan di Android 11 dengan antarmuka ColorOS 11.1. Smartphone ini dibandrol Rp4,299.000",oppo a oppo a bekal baterai kapasitas mah dukung teknologi isi daya cepat w supervooctm dukung teknologi isi baterai oppo a isi persen menit isi penuh persen jam oppo a fitur super power saving mode pakai baterai oppo a usung layar inci screen-to-body ratio resolusi fhd x layar hadir ntsc wide color gamut dukung refresh rate hz urus fotografi oppo a bekal kamera kamera utama mp kamera bokeh mp henti situ semat kamera resolusi mp oppo a topang prosesor snapdragon prosesor qualcomm padu ram kapasitas gb virtual gb memori internal gb sistem operasi jalan android antarmuka coloros smartphone dibandrol rp
245,https://tekno.sindonews.com/read/755869/776/urusan-navigasi-saat-mudik-oppo-a96-siap-menjadi-pilihan-1651046666,Performa OPPO A96 ditopang oleh prosesor Snapdragon 680. Prosesor buatan Qualcomm itu dipadu dengan RAM berkapasitas 8GB yang dapat diperbesar secara virtual hingga 5GB dan memori internal hingga 256GB. Untuk sistem operasinya sendiri berjalan di Android 11 dengan antarmuka ColorOS 11.1. Smartphone OPPP A96 bisa dipesan baik secara daeing dan luring dengan menebusnya seharga Rp4.299.000.,performa oppo a topang prosesor snapdragon prosesor qualcomm padu ram kapasitas gb virtual gb memori internal gb sistem operasi jalan android antarmuka coloros smartphone oppp a pesan daeing luring tebus harga rp
247,https://tekno.sindonews.com/read/751047/776/semarakkan-lebaranmu-dengan-oppo-a-series-1650618248,"3. OPPO A55 OPPO A55 hadir membawa layar berukuran 6,51 inci yang telah dilengkapi dengan fitur All-day Eye Care untuk melindungi mata pengguna ketika menatap layar smartphone dalam waktu yang cukup lama. Di sektor fotografi, OPPO A55 mengandalkan kamera AI Triple HD dengan konfigurasi True 50MP AI Camera, 2MP kamera bokeh dan 2MP kamera makro. Tak hanya itu turut disertakan kamera selfie 16 MP dilengkapi fitur AI Beautification. Dalam menyokong performanya, OPPO A55 hadir dengan mengusung prosesor MediaTek Helio G35. Dipadukan dengan RAM 4GB dan penyimpanan internal 64GB. Untuk mendukung penggunaan seharian lebih, OPPO melengkapi A55 dengan baterai 5000mAh yang sudah dilengkapi 18 Watt Fast Charge yang dapat mengisi ulang perangkat 33% dalam waktu 30 menit. OPPO A55 tersedia salam dua pilihan warna Rainbow Blue dan Starry Black. Terkait harga, ponsel pintar baru itu dijual di Rp2,699 juta.",oppo a oppo a hadir bawa layar ukur inci lengkap fitur all-day eye care lindung mata tatap layar smartphone sektor fotografi oppo a andal kamera ai triple hd konfigurasi true mp ai camera mp kamera bokeh mp kamera makro kamera selfie mp lengkap fitur ai beautification sokong performa oppo a hadir usung prosesor mediatek hio g padu ram gb simpan internal gb dukung oppo lengkap a baterai mah lengkap watt fast charge isi ulang perangkat menit oppo a sedia salam pilih warna rainbow blue starry black kait harga ponsel pintar jual rp juta
248,https://tekno.sindonews.com/read/751033/776/ini-rekomendasi-smartphone-harga-kompetitif-dengan-fitur-canggih-1650618255,"4. OPPO A16. OPPO A16 juga bisa jadi pertimbangan bagi kalian yang sedang mencari smartphone dengan harga Rp 1 jutaan. OPPO A16 membawa layar seluas 6,52 inci dengan resolusi HD+ yang dilengkapi fitur Eye Care Display. Smartphone ini juga memiliki tiga buah kamera belakang yang terdiri dari kamera utama 13MP, kamera portrait 2MP, dan kamera makro 2MP. Swlain itu OPPO A16 juga dilengkapi dengan kamera selfie 8MP. Dapur pacu OPPP A16 menggunakan prosesor Mediatek Helio G35 yang disokong oleh RAM 3GB dan memori internal hingga 64GB. Pada smartphone yang satu ini juga di dalamnya ditanam baterai berkapasitas 5000mAh. Harga: OPPO A16 RAM 3/32GB - Rp 1,9 jutaan, OPPO A16 RAM 4/64GB - Rp 2,4 jutaan.",oppo a oppo a timbang cari smartphone harga rp juta oppo a bawa layar luas inci resolusi hd lengkap fitur eye care display smartphone milik buah kamera kamera utama mp kamera portrait mp kamera makro mp swlain oppo a lengkap kamera selfie mp dapur pacu oppp a prosesor mediatek hio g sokong ram gb memori internal gb smartphone tanam baterai kapasitas mah harga oppo a ram gb - rp juta oppo a ram gb - rp juta
253,https://tekno.sindonews.com/read/741011/776/huawei-resmi-luncurkan-huawei-matebook-d14-matebook-d15-laptop-dengan-desain-premium-untuk-produktivitas-serba-cepat-1649747103,"Laptop Cakep yang Mendongkrak Produktivitas. Peluncuran HUAWEI MateBook D14 dan MateBook D15 11th Generation menjadi bukti dari komitmen terkini Huawei dalam memperkuat keunggulan estetika, inovasi, dan kecerdasan sebagai DNA bagi produk-produk PC yang diciptakannya dari masa ke masa. Selain itu, seri laptop ini juga menjawab berbagai keluhan yang kerap dirasakan pengguna jajaran laptop di segmen entry-level, yang mana hal tersebut terangkum dalam serangkaian kelebihan-kelebihan berikut:",laptop cakep dongkrak produktivitas luncur huawei matebook d matebook d th generation bukti komitmen huawei kuat unggul estetika inovasi cerdas dna produk pc cipta seri laptop keluh kerap jajar laptop segmen entry-level rangkum rangkai
253,https://tekno.sindonews.com/read/741011/776/huawei-resmi-luncurkan-huawei-matebook-d14-matebook-d15-laptop-dengan-desain-premium-untuk-produktivitas-serba-cepat-1649747110,"Saat tersambung, tablet HUAWEI MatePad akan berfungsi sebagai drive eksternal di layar HUAWEI MateBook D14 dan MateBook D15 11th Generation, yang memungkinkan transfer dan pengelolaan file antar perangkat secara cepat dan mudah melalui drag-and-drop, atau copy-paste melalui collaborate mode. Selain itu, layar PC juga dapat direplikasi ke layar tablet sehingga apapun perintah yang dilakukan pada HUAWEI MatePad dapat ditampilkan secara real-time di PC, melalui mirror mode. Terakhir, untuk mengubah tablet menjadi monitor eksternal pada PC, guna meningkatkan produktivitas dengan lebih banyak tampilan layer, pengguna dapat mengaktifkan extend mode.",sambung tablet huawei matepad fungsi drive eksternal layar huawei matebook d matebook d th generation transfer kelola file perangkat cepat mudah drag-and-drop copy-paste collaborate mode layar pc direplikasi layar tablet perintah laku huawei matepad tampil real-time pc mirror mode ubah tablet monitor eksternal pc tingkat produktivitas tampil layer aktif extend mode
